Rel_Abundance	AI_AcidSludgeSampleA_PacBio	AI_AcidSludgeSampleB_PacBio	AI_DMB5_1SRT_Day06_PacBio	AI_DMB5_3SRT_Day18_Illumina	AI_DMB5_5SRT_Day30_Illumina	AI_DMB5_7SRT_Day42_Illumina	KW_CSTR_Day000_Illumina	KW_CSTR_Day012_Illumina	KW_CSTR_Day024_PacBio	KW_CSTR_Day036_Illumina	KW_CSTR_Day044_PacBio	KW_CSTR_Day049_Illumina	KW_CSTR_Day054_Illumina	KW_CSTR_Day060_PacBio	KW_CSTR_Day066_Illumina	KW_CSTR_Day072_Illumina	KW_CSTR_Day078_Illumina	KW_CSTR_Day084_Illumina	KW_CSTR_Day097_Illumina	KW_CSTR_Day108_Illumina	KW_CSTR_Day120_Illumina	KW_CSTR_Day126_Illumina	KW_CSTR_Day146_Illumina	KW_CSTR_Day168_Illumina	KW_CSTR_Day192_Illumina	KW_CSTR_Day216_PacBio	KW_USB_Day000_Illumina	KW_USB_Day015_Illumina	KW_USB_Day021_Illumina	KW_USB_Day028_Illumina	KW_USB_Day042_PacBio	KW_USB_Day056_Illumina	KW_USB_Day063_Illumina	KW_USB_Day077_Illumina	KW_USB_Day098_PacBio	KW_USB_Day105_Illumina	KW_USB_Day126_Illumina	KW_USB_Day148_Illumina	KW_USB_Day176_Illumina	KW_USB_Day197_PacBio	MS_ConversionResidue_Day012_Illumina	MS_ConversionResidue_Day048_Illumina	MS_ConversionResidue_Day084_Illumina	MS_ConversionResidue_Day096_Illumina	MS_ConversionResidue_Day120_Illumina	MS_ConversionResidue_Day378_PacBio	MS_Xylose_16X_Illumina	MS_Xylose_17X_Illumina	MS_Xylose_18X_Illumina	NF_R1_Day000_TS00_Illumina	NF_R1_Day003_TS0_Illumina	NF_R1_Day014_TS2_Illumina	NF_R1_Day039_TS6_Illumina	NF_R1_Day063_TS10_PacBio	NF_R1_Day075_TS12_Illumina	NF_R2_Day003_TS16_Illumina	NF_R2_Day028_TS20_Illumina	NF_R2_Day052_TS24_PacBio	NF_R2_Day064_TS26_Illumina	NF_R2_Day090_TS30_Illumina	NF_R2_Day100_TS32_PacBio	NF_R2_Day138_TS38_Illumina	NF_R2_Day166_TS43_PacBio	NF_R2_Day202_TS49_Illumina	NF_R3_Day024_TSR4_Illumina	NF_R3_Day048_TSR8_Illumina	NF_R3_Day066_TSR11_Illumina	NF_R3_Day070_TSR13_Illumina	NF_R3_Day114_TSR19_Illumina	NF_R3_Day162_TSR27_Illumina	NF_R4_Day013_TST2_Illumina	NF_R4_Day024_TST4_Illumina	NF_R4_Day062_TST10_Illumina	NF_R4_Day072_TST12_Illumina	NF_R4_Day120_TST20_Illumina	NF_R4_Day162_TST27_Illumina	NF_R5_Day036_TSTR6_Illumina	NF_R5_Day066_TSTR11_Illumina
UW_DM_LIMLAC1_1	0	0	3.527909925	1.10899415	0.353537305	0.080793757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01753417	15.105433	0.6965881	0	0	0.02571822	0	0	0	0	0	0	0	0	0.06537191	1.4262356	0.12393652	0.029951252	0.030839954	0.06240176	0.03520163	0.03600621	0.014450267	0.006989684	0	0.028549656	0.02315522	0.026412914
UW_MP_ATO5_1	0	0	0	0	0	0	0	6.24935	1.056565	0.19388245	0.151836183	0.24825723	0.1880023	0	0.17233942	0	0	0	0	0	0	0	0	0	0	0	0	0.004739684	0.006629511	0	0	0	0	0	0	0	0	0	0	0	0.02117603	0.47199085	0.8685564	0.7191167	0.61974573	2.0227196	0.19855458	0.14486651	0.1346677	0	0	0.011230296	0.06973393	0.083023384	0.049531907	0.13999887	0.024716055	0	0.014437299	0.014441397	0	0.012852891	0.011747977	0.012818026	0	0	0.04685998	0.008633808	0.01641389	0.069600046	0.015801942	0	0.005306541	0	0	0	0	0
UW_MP_BIF15_1	0	0	0	0	0	0	0	0.004747394	0.001578665	0	0	0.019098042	0.026598476	0	0.024482626	0.026857601	0.027567148	0.012760979	0.02640217	0.20949706	0.15398668	0.08230477	0.07462556	0.19186984	0.04049819	0.00848983	0	0.18140274	0.14662509	0.042151116	0	0.00790165	0.012960601	0.020200256	0.039577227	0.09251552	0.069730066	0.15811588	0.16164261	1.0081042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_TS_LAC2_1	0	0	0.070191104	0.24860753	0.02069465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1820265	0	0	0	0.015510847	0	0	0	0.04788802	0.006096633	0.58003616	4.312566	0.072247535	0.7693106	4.345706	0.11142795	0	0.013586526	0.6276887	0.7768116	0.005460488	0	0	0.058825467	0.63031775	0.71407396	0.2131154	0.32881582	1.5049627	0.30963966	0.045515504	0.025670381	0.07094796	0.030778022	0.06611928	0.1078707	0.2179399
UW_TS_LACCAS1_1	0	0	0.10095042	0.38775231	1.75911805	2.36730895	0	0	0.001276917	0	0	0	0	0	0	0	0.039301865	0.009012532	0.00571129	0.02259689	0.05038091	0.019433847	0.08527708	0.07722043	0.007427782	0.003472367	0	2.9432578	1.742626	1.0248051	0.217105175	0.11779463	0.06105871	0.044363257	0.010126279	0.0126982	0	0	0.009778821	0	0	0.2353167	0.14372404	0.23088175	0.19174102	0	0	0	0	0	0	0	0.1377534	0.045569193	0.067003004	0.42224044	3.1696415	0.36065477	1.4570161	5.3717103	6.6324382	5.2286053	4.574049	3.6893668	2.1326635	7.5833883	5.4988894	11.194059	18.913668	7.347658	7.7043447	19.805819	13.416639	0.5345498	0.6452788	0.5985658	0.71326375	0.5857484
UW_TS_PED1_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029985644	0.07808754	0.20210569	0.010315619	0.083396405	4.535755	1.8307097	0.20693898	0.105974354	0.2672542	0.0904759	0.20747925	0	0.105827734	0.6791129	0.24951954	0.2186741	0.21820204	0.3313325	0.13787398	2.004968	2.0042934	0.6228712	0.4190161	0.5075676	0.3436239	0.21699826	0.19919659
UW_TS_PED2_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008488168	5.5060687	23.84415	2.3348866	14.049444	8.010065	3.672346	0.968315005	0.48184192	2.2051098	1.4670993	2.2205298	0.70157523	0.5409583	13.5784445	3.3159306	2.5419514	2.3010128	7.232322	0.4279484	8.323754	15.265666	15.497171	4.5637236	8.757214	5.7251863	2.4491122	2.3562243
UW_MP_BIF3_1	0	0	0.01529179	0.005582721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23982443	0.23309425	0.1318038	0	0.017047266	0.039794274	0.13163622	2.37337885	3.4229014	1.6106712	0.36312178	1.4696223	1.3014499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_TS_ACET3_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007952547	0.025228227	0.020013131	0	0.003887087	0.00425343	0.004434654	0.001621684	0.002976897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02386174	0.4119703	2.7123406	0.30323645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UW_TS_LAC1_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0259795	12.863488	0	0.019281164	1.6335436	0.6229559	0	0	0.85754395	1.31284725	0	0	0	0.081563	1.162128	0.92315966	0.40035397	0.28592312	1.5155562	0.12948912	0.01765246	0.079455	0.06871547	0.06705745	0.14046939	0.015397991	0.0191561
