Rel_Abundance	variable	value			Researcher	Researcher_Reactor	Sample_Name	Day	Seq_Tech	MAG_ID	Relative_Abundance					
1	UW_DM_LIMLAC1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_LIMLAC1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
2	UW_MP_ATO5_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ATO5_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
3	UW_MP_BIF15_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF15_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
4	UW_TS_LAC2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LAC2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
5	UW_TS_LACCAS1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LACCAS1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
6	UW_TS_PED1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_PED1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
7	UW_TS_PED2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_PED2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
8	UW_MP_BIF3_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF3_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
9	UW_TS_ACET3_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_ACET3_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
10	UW_TS_LAC1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LAC1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
11	UW_TS_LAC3_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LAC3_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
12	UW_MP_BIF2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
13	UW_MP_LEUC1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_LEUC1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
14	UW_DM_LIMLAC2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_LIMLAC2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
15	UW_MP_BIF10_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF10_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
16	UW_MP_LIQLAC1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_LIQLAC1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
17	UW_TS_ATO2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_ATO2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
18	UW_TS_ATO3_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_ATO3_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
19	UW_TS_COMLAC1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_COMLAC1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
20	UW_TS_FURLAC1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_FURLAC1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
21	MS_EUB1_2018_genome	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_EUB1_2018_genome	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
22	UW_DM_MEG1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_MEG1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
23	UW_MP_ACID1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ACID1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
24	UW_MP_BACTE1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACTE1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
25	UW_MP_CLOS1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_CLOS1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
26	UW_MP_CLOS2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_CLOS2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
27	UW_MP_MEG5_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_MEG5_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
28	UW_MP_ACID2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ACID2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
29	UW_MP_ANA1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ANA1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
30	UW_TS_EUB1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_EUB1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
31	UW_TS_EUB2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_EUB2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
32	UW_MP_LCO1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_LCO1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
33	UW_TS_LCO2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LCO2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
34	UW_TS_LCO3_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LCO3_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
35	MS_LCO1_2018_genome	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_LCO1_2018_genome	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
36	UW_MP_ACUT1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ACUT1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
37	UW_MP_SPH1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_SPH1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
38	UW_DM_BACIL1_1	AI_AcidSludgeSampleA_PacBio	4.62887685		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_BACIL1_1	4.62887685		AI_Sludge	AcidSludgeSampleA	0	PacBio
39	UW_DM_BURK1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_BURK1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
40	UW_MP_ATO4_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ATO4_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
41	UW_MP_BACIL2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACIL2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
42	UW_TS_ACET1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_ACET1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
43	UW_TS_LCO1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LCO1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
