"Rel_Abundance"	"variable"	"value"
"1"	"UW_DM_LIMLAC1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"2"	"UW_MP_ATO5_1"	"AI_AcidSludgeSampleA_PacBio"	0
"3"	"UW_MP_BIF15_1"	"AI_AcidSludgeSampleA_PacBio"	0
"4"	"UW_TS_LAC2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"5"	"UW_TS_LACCAS1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"6"	"UW_TS_PED1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"7"	"UW_TS_PED2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"8"	"UW_MP_BIF3_1"	"AI_AcidSludgeSampleA_PacBio"	0
"9"	"UW_TS_ACET3_1"	"AI_AcidSludgeSampleA_PacBio"	0
"10"	"UW_TS_LAC1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"11"	"UW_TS_LAC3_1"	"AI_AcidSludgeSampleA_PacBio"	0
"12"	"UW_MP_BIF2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"13"	"UW_MP_LEUC1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"14"	"UW_DM_LIMLAC2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"15"	"UW_MP_BIF10_1"	"AI_AcidSludgeSampleA_PacBio"	0
"16"	"UW_MP_LIQLAC1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"17"	"UW_TS_ATO2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"18"	"UW_TS_ATO3_1"	"AI_AcidSludgeSampleA_PacBio"	0
"19"	"UW_TS_COMLAC1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"20"	"UW_TS_FURLAC1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"21"	"MS_EUB1_2018_genome"	"AI_AcidSludgeSampleA_PacBio"	0
"22"	"UW_DM_MEG1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"23"	"UW_MP_ACID1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"24"	"UW_MP_BACTE1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"25"	"UW_MP_CLOS1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"26"	"UW_MP_CLOS2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"27"	"UW_MP_MEG5_1"	"AI_AcidSludgeSampleA_PacBio"	0
"28"	"UW_MP_ACID2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"29"	"UW_MP_ANA1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"30"	"UW_TS_EUB1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"31"	"UW_TS_EUB2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"32"	"UW_MP_LCO1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"33"	"UW_TS_LCO2_1"	"AI_AcidSludgeSampleA_PacBio"	0
