Researcher	Researcher_Reactor	Sample_Name	Day	Seq_Tech	MAG_ID	Relative_Abundance
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_LIMLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ATO5_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF15_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LAC2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LACCAS1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_PED1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_PED2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF3_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_ACET3_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LAC1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LAC3_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_LEUC1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_LIMLAC2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF10_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_LIQLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_ATO2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_ATO3_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_COMLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_FURLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_EUB1_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_MEG1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ACID1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACTE1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_CLOS1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_CLOS2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_MEG5_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ACID2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ANA1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_EUB1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_EUB2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_LCO1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LCO2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LCO3_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_LCO1_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ACUT1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_SPH1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_BACIL1_1	4.62887685
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_BURK1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ATO4_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACIL2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_ACET1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LCO1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACIL1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_PREV1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_SPH2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_ACET2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ATO2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_BACTE1_1	1.7741006
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_DIAL1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACIL7_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACTE7_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_PREV6_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_PREV7_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_SELEN1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_BUL1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_PREV1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_ACET1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_COR4	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_COR5	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_LAC1_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_LAC2_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_LAC3_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_LAC5_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_LCO2	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_ACET1_1	0
